No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
57,"Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend, Glass Reinforced",Polymer,1.06 - 1.53 g/cc,31.0 - 130 MPa,2.00 - 200 %,1.20 - 8.10 GPa,,,,,
58,"Polycarbonate/ABS Alloy, Unreinforced",Polymer,0.960 - 1.50 g/cc,2.80 - 586 MPa,0.800 - 1230 %,1.67 - 11.1 GPa,40.3 - 61.9 MPa,,,,
59,"Polycarbonate/ABS Alloy, Glass Fiber Filled",Polymer,0.962 - 1.48 g/cc,27.0 - 131 MPa,0.600 - 109 %,2.41 - 13.0 GPa,,,,,
60,"Polycarbonate/ABS Alloy, Carbon Fiber Filled",Polymer,1.17 - 1.40 g/cc,67.6 - 165 MPa,0.500 - 4.00 %,4.61 - 16.5 GPa,,,,,
61,"Polycarbonate/ABS Alloy, NCG Fiber Filled",Polymer,1.18 - 1.45 g/cc,62.1 - 153 MPa,0.500 - 5.00 %,4.48 - 17.9 GPa,,,,,
62,"Polycarbonate/ABS Alloy, Antistat/Conductive",Polymer,1.14 - 1.53 g/cc ,37.9 - 124 MPa,1.00 - 10.0 %,1.72 - 12.4 GPa,,,,,
63,ABS/Polyurethane Alloy,Polymer,0.970 - 1.20 g/cc,16.0 - 67.0 MPa,180 - 320 %,0.0827 - 0.745 GPa,,,gloss,,
64,"Acetal Copolymer, Unreinforced",Polymer,0.950 - 1.71 g/cc,21.0 - 75.8 MPa,1.50 - 250 %,0.586 - 11.7 GPa,40.0 - 55.2 MPa,,,,
65,"Acetal Copolymer, Impact Modified",Polymer,1.07 - 1.41 g/cc,26.0 - 56.0 MPa,10.0 - 300 %,0.772 - 2.45 GPa,,,,,
66,"Acetal Copolymer, Silicone Filled",Polymer,1.29 - 1.62 g/cc,41.4 - 110 MPa,2.50 - 90.0 %,2.25 - 2.90 GPa,,,silicone,,
67,"Acetal Copolymer, Carbon Fiber Filled",Polymer,1.40 - 1.58 g/cc ,65.0 - 217 MPa,0.600 - 25.0 %,2.40 - 23.4 GPa,,,fiber,,
68,"Acetal Copolymer, Aramid Fiber Filled",Polymer,1.01 - 1.52 g/cc,45.0 - 82.7 MPa,2.00 - 12.0 %,2.70 - 4.83 GPa,,,,,
69,"Acrylic, General Purpose, Molded",Polymer,0.700 - 1.30 g/cc ,19.3 - 85.0 MPa,1.00 - 85.0 %,0.950 - 3.79 GPa,,,Acrylic,,
70,"Acrylic, Extruded",Polymer,0.942 - 1.19 g/cc,29.0 - 93.1 MPa,2.00 - 59.0 % ,0.0420 - 3.80 GPa,,,Acrylic,,
71,"Acrylic, UV Stabilized, Molded",Polymer,1.15 - 1.20 g/cc,32.4 - 80.0 MPa,2.00 - 50.0 %,1.79 - 3.45 GPa,,,Acrylic,,
72,"Acrylic, Optical Grade, Molded",Polymer,1.11 - 1.19 g/cc,38.0 - 89.3 MPa,2.00 - 40.0 %,1.76 - 3.65 GPa,,,Acrylic,,
